,entity,mark
0,理财时代,0
1,富金利,0
2,小资钱包,1
3,恒丰银行,1
4,国有投资,0
5,资易贷（北京）金融信息服务有限公司,1
6,资易贷,1
7,平安银行,0
8,车主贷,1
9,平安银行车主贷,0
10,旺贷,0
11,旺旺贷,1
12,资金周转,0
13,小额贷,0
14,贷款1,0
15,信贷通,0
16,温州贷,0
17,成都易融时代投资咨询有限公司,0
18,易融贷,0
19,宜贷网,1
20,京东白条,1
21,交通银行,1
22,惠民贷,1
23,北京金领贷,0
24,宜贷网(沪),0
25,摩尔龙,1
26,资易贷金融信息服务有限公司,1
27,易贷金融,1
28,华澳余盆网,1
29,天津金城银行,0
30,余盆网,1
31,亿盛国际,0
32,国际微交易,0
33,微交易,0
34,猜涨跌,0
35,壹佰金,0
36,壹佰金融,1
37,i财富,1
38,深圳前海大福资本管理有限公司,1
39,宜信,0
40,坤吉国际,0
41,e租宝,1
42,福建中天盛宝融资租赁有限公司,1
43,山东谷丰汇扬融资租赁有限公司,1
44,金谷财行,1
45,国商金融,1
46,财管通,1
47,上海易贷网金融信息服务有限公司（宜贷网运营公司）,0
48,借钱网,0
49,微粒贷,1
50,拍拍贷,1
51,新浪微博借钱网,0
52,口贷网,1
53,中国幸福投资公司,1
54,利巨人,1
55,搜狐财经,0
56,金鼎小额贷款公司,1
57,金鼎小额贷款,0
58,花呗,0
59,蚂蚁花呗,0
60,分期乐,0
61,深圳南山,1
62,人人爱家金融,0
63,圣迪雅电子商务有限公司,0
64,江苏圣迪雅日用品有限公司,1
65,现金卡,0
66,返利,0
67,江苏圣迪雅电子商务有限公司,1
68,ppmoney,1
69,paypal,1
70,借呗,0
71,还我钱,0
72,懒财网,1
73,易通贷,1
74,金佳,0
75,黄金佳,1
76,fxcm福汇,1
77,福汇,0
78,联璧金融,1
79,斐讯,1
80,北京银行,1
81,宝支付,0
82,开店宝,0
83,开店宝支付服务有限公司,0
84,????宜湃网,1
85,华夏信财,1
86,钱宝网,1
87,钱宝,1
88,红岭创投,1
89,红岭控股,1
90,qos,1
91,币圈,0
92,鼎治泰达,1
93,圣盈信,1
94,信雅达,0
95,新国都,0
96,拉卡拉,1
97,美项目,0
98,eos,1
99,招财猫理财,0
100,消费金融,0
101,玖富,1
102,赛伯乐绿科,1
103,德威公司,1
104,新余铭沃,1
105,乐投资,0
106,赛伯乐投资,1
107,bc,0
108,fbc,0
109,fbc区块链期货,1
110,区块链期货,0
111,fbc区块链,1
112,电网贷,0
113,中恒通公司,1
114,中恒通(福建)机械制造有限公司,0
115,对中恒通(福建)机械制造有限公司,1
116,利得,0
117,利得行,1
118,联金所,1
119,东方银座,1
120,网贷天眼,0
121,石头理财,1
122,国付,0
123,国付宝,1
124,水滴筹,1
125,水滴互助,1
126,中宝投资,1
127,资金链,0
128,美债所,0
129,上海应文投资管理有限公司,1
130,应文投资,1
131,上金所,0
132,山东招金投资股份有限公司,0
133,米房无忧借条,0
134,合众e贷,1
135,够力金融,0
136,海佛金融,1
137,冠群驰骋,1
138,冠e通,1
